,date,time,comp,round,day,venue,opponent,formation,gf,ga,result,gls,sh,sot,sot%,g/sh,g/sot,dist,pk,pkatt,team,year
32,2023-03-03,20:45,Serie A,Matchweek 25,Fri,Home,Lazio,4-3-3,0,1,L,0.0,14.0,2.0,14.3,0.0,0.0,22.1,0.0,0.0,Napoli,2022
33,2023-03-11,18:00,Serie A,Matchweek 26,Sat,Home,Atalanta,4-3-3,2,0,W,2.0,18.0,6.0,33.3,0.11,0.33,16.8,0.0,0.0,Napoli,2022
34,2023-03-15,21:00,Champions Lg,Round of 16,Wed,Home,de Eint Frankfurt,4-3-3,3,0,W,3.0,11.0,7.0,63.6,0.18,0.29,14.4,1.0,1.0,Napoli,2022
35,2023-03-19,15:00,Serie A,Matchweek 27,Sun,Away,Torino,4-3-3,4,0,W,4.0,11.0,5.0,45.5,0.27,0.6,16.1,1.0,1.0,Napoli,2022
36,2023-04-02,20:45,Serie A,Matchweek 28,Sun,Home,Milan,4-3-3,0,4,L,0.0,20.0,4.0,20.0,0.0,0.0,18.9,0.0,0.0,Napoli,2022
37,2023-04-07,19:00,Serie A,Matchweek 29,Fri,Away,Lecce,4-3-3,2,1,W,1.0,9.0,3.0,33.3,0.11,0.33,15.4,0.0,0.0,Napoli,2022
38,2023-04-12,21:00,Champions Lg,Quarter-finals,Wed,Away,it Milan,4-3-3,0,1,L,0.0,16.0,5.0,31.3,0.0,0.0,19.8,0.0,0.0,Napoli,2022
39,2023-04-15,18:00,Serie A,Matchweek 30,Sat,Home,Hellas Verona,4-3-3,0,0,D,0.0,10.0,1.0,10.0,0.0,0.0,19.0,0.0,0.0,Napoli,2022
40,2023-04-18,21:00,Champions Lg,Quarter-finals,Tue,Home,it Milan,4-3-3,1,1,D,1.0,22.0,3.0,13.6,0.05,0.33,16.4,0.0,1.0,Napoli,2022
41,2023-04-23,20:45,Serie A,Matchweek 31,Sun,Away,Juventus,4-3-3,1,0,W,1.0,17.0,6.0,35.3,0.06,0.17,17.6,0.0,0.0,Napoli,2022
42,2023-04-30,15:00,Serie A,Matchweek 32,Sun,Home,Salernitana,4-3-3,1,1,D,1.0,24.0,8.0,33.3,0.04,0.13,15.8,0.0,0.0,Napoli,2022
43,2023-05-04,20:45,Serie A,Matchweek 33,Thu,Away,Udinese,4-3-3,1,1,D,1.0,7.0,4.0,57.1,0.14,0.25,14.8,0.0,0.0,Napoli,2022
44,2023-05-07,18:00,Serie A,Matchweek 34,Sun,Home,Fiorentina,4-3-3,1,0,W,1.0,8.0,1.0,12.5,0.0,0.0,20.2,1.0,2.0,Napoli,2022
45,2023-05-14,15:00,Serie A,Matchweek 35,Sun,Away,Monza,4-2-3-1,0,2,L,0.0,20.0,7.0,35.0,0.0,0.0,17.1,0.0,0.0,Napoli,2022
46,2023-05-21,18:00,Serie A,Matchweek 36,Sun,Home,Inter,,,,,,,,,,,,,,Napoli,2022
47,2023-05-28,,Serie A,Matchweek 37,Sun,Away,Bologna,,,,,,,,,,,,,,Napoli,2022
48,2023-06-04,,Serie A,Matchweek 38,Sun,Home,Sampdoria,,,,,,,,,,,,,,Napoli,2022
0,2022-08-15,20:45,Serie A,Matchweek 1,Mon,Home,Sassuolo,4-4-2,3.0,0.0,W,3.0,13.0,3.0,23.1,0.15,0.67,18.4,1.0,1.0,Juventus,2022
1,2022-08-22,20:45,Serie A,Matchweek 2,Mon,Away,Sampdoria,4-3-3,0.0,0.0,D,0.0,10.0,4.0,40.0,0.0,0.0,16.0,0.0,0.0,Juventus,2022
