,date,time,comp,round,day,venue,opponent,formation,gf,ga,result,gls,sh,sot,sot%,g/sh,g/sot,dist,pk,pkatt,team,year
29,2023-02-11,15:30,Bundesliga,Matchweek 20,Sat,Home,Bochum,3-1-4-2,3.0,0.0,W,3.0,22.0,11.0,50.0,0.09,0.18,16.7,1.0,1.0,Bayern-Munich,2022
30,2023-02-14,21:00,Champions Lg,Round of 16,Tue,Away,fr Paris S-G,3-4-3,1.0,0.0,W,1.0,18.0,7.0,38.9,0.06,0.14,17.5,0.0,0.0,Bayern-Munich,2022
31,2023-02-18,15:30,Bundesliga,Matchweek 21,Sat,Away,M'Gladbach,3-1-4-2,2.0,3.0,L,2.0,13.0,5.0,38.5,0.15,0.4,18.4,0.0,0.0,Bayern-Munich,2022
32,2023-02-26,17:30,Bundesliga,Matchweek 22,Sun,Home,Union Berlin,4-2-3-1,3.0,0.0,W,3.0,20.0,9.0,45.0,0.15,0.33,13.8,0.0,0.0,Bayern-Munich,2022
33,2023-03-04,18:30,Bundesliga,Matchweek 23,Sat,Away,Stuttgart,4-2-3-1,2.0,1.0,W,2.0,14.0,6.0,42.9,0.14,0.33,14.9,0.0,0.0,Bayern-Munich,2022
34,2023-03-08,21:00,Champions Lg,Round of 16,Wed,Home,fr Paris S-G,4-2-3-1,2.0,0.0,W,2.0,12.0,5.0,41.7,0.17,0.4,14.6,0.0,0.0,Bayern-Munich,2022
35,2023-03-11,15:30,Bundesliga,Matchweek 24,Sat,Home,Augsburg,3-4-3,5.0,3.0,W,5.0,23.0,8.0,34.8,0.22,0.63,16.1,0.0,0.0,Bayern-Munich,2022
36,2023-03-19,17:30,Bundesliga,Matchweek 25,Sun,Away,Leverkusen,3-1-4-2,1.0,2.0,L,1.0,11.0,6.0,54.5,0.09,0.17,15.0,0.0,0.0,Bayern-Munich,2022
37,2023-04-01,18:30,Bundesliga,Matchweek 26,Sat,Home,Dortmund,4-2-3-1,4.0,2.0,W,3.0,16.0,9.0,56.3,0.19,0.33,16.5,0.0,0.0,Bayern-Munich,2022
38,2023-04-04,20:45,DFB-Pokal,Quarter-finals,Tue,Home,Freiburg,4-2-3-1,1.0,2.0,L,1.0,16.0,4.0,25.0,0.06,0.25,,0.0,0.0,Bayern-Munich,2022
39,2023-04-08,15:30,Bundesliga,Matchweek 27,Sat,Away,Freiburg,4-1-4-1,1.0,0.0,W,1.0,22.0,8.0,36.4,0.05,0.13,16.2,0.0,0.0,Bayern-Munich,2022
40,2023-04-11,20:00,Champions Lg,Quarter-finals,Tue,Away,eng Manchester City,4-2-3-1,0.0,3.0,L,0.0,12.0,4.0,33.3,0.0,0.0,21.4,0.0,0.0,Bayern-Munich,2022
41,2023-04-15,15:30,Bundesliga,Matchweek 28,Sat,Home,Hoffenheim,4-2-3-1,1.0,1.0,D,1.0,22.0,8.0,36.4,0.05,0.13,17.8,0.0,0.0,Bayern-Munich,2022
